'homehogardulcehogar',2,0,0,,,,
'tomsawyer',60,31,57,,,,
'jerseyboys',324,671,1024,,,,
'doraemonynobitaholmes',1,0,0,,,,
'langosta',71,48,260,,,,
'avionesdepapel',12,22,28,,,,
'manolete',49,58,360,,,,
'caminoalaescuela',1,0,0,,,,
'seispuntossobreemma',6,13,30,,,,
'itfollows',142,106,114,,,,
'poltergeist',523,880,4359,,,,
'meninblack3',9,2,2,,,,
'inmaduros',5,1,0,,,,
'alabamamonroe',3,1,0,,,,
'chronicle',89,48,890,,,,
'irrationalman',20,14,15,,,,
'stellacadente',28,49,28,,,,
'missbala',1,2,2,,,,
'caminodelacruz',157,285,1215,,,,
'littleboy',284,207,7678,,,,
'ouija',694,220,171174,,,,
'madamebovary',40,27,25,,,,
'foxfire',15,18,14,,,,
'asinosva',281,210,912,,,,
'underworldeldespertar',3,0,0,,,,
'difret',1,0,46,,,,
'aliciaatravesdelespejo',20,21,9,,,,
'triplenine',18,4,4405,,,,
'miamadre',6,3,4,,,,
'khumba',1,0,0,,,,
'anacletoagentesecreto',1,0,0,,,,
'blancanieves',142,894,2301,,,,
'midiendoelmundo',1,0,0,,,,
'escobarparaisoperdido',2,1,0,,,,
'spectre',254,191,72239,,,,
'incompatibles',4,7,9,,,,
'stepupallin',99,6,5644,,,,
'boyhood',775,432,50915,,,,
'polisse',6,1,3,,,,
'muchoruidoypocasnueces',3,0,0,,,,
'hoteltransilvania2',3,7,0,,,,
'desterrado',2,0,0,,,,
'omar',554,445,19411,,,,
'monpetit',6,4,0,,,,
'ellas',320,280,965,,,,
'elena',751,352,1424,,,,
'skyfall',1074,1395,28479,,,,
'macbeth',545,829,2486,,,,
'absolutamentetodo',1,0,0,,,,
'espias',12,2,3,,,,
'afterearth',7,2,5,,,,
'enfueradejuego',1,0,0,,,,
'dheepan',9,5,16,,,,
'violette',39,48,430,,,,
'frozenelreinodelhielo',2,0,0,,,,
'panviajeanuncajamas',2,0,0,,,,
'aesmorga',14,52,28,,,,
'looper',125,76,108,,,,
'misionimposiblenacionsecreta',2,0,0,,,,
'chappie',119,77,542,,,,
'crucedecaminos',18,13,44,,,,
'despedidadesoltera',202,64,1650,,,,
'godhelpthegirl',1,2,0,,,,
'barcelonanochedeinvierno',1,1,0,,,,
'divergente',94,61,192,,,,
'truman',165,102,146,,,,
'grandpiano',154,213,5524,,,,
'redarmy',792,1444,174838,,,,
'aviones',290,126,386,,,,
'mapstothestars',15,55,36,,,,
'45años',30,20,4,,,,
'porfinsolos',1,4,3,,,,
'calabria',2149,2945,20773,,,,
'techoycomida',2,0,0,,,,
'unapalomaseposoenunaramaareflexionarsobrelaexistencia',2,0,2,,,,
'afterparty',1269,1497,86989,,,,
'deadmandown',7,4,0,,,,
'nuncaesdemasiadotarde',2,0,0,,,,
'migranbodagriega2',1,0,0,,,,
'elatlasdelasnubes',2,0,0,,,,
'diosesdeegipto',1,0,0,,,,
'pompeya',455,441,45626,,,,
'infiltradosenmiami',1,0,0,,,,
'capitanharlock',2,0,0,,,,
'paranormalactivity4',2,1,0,,,,
'sherlockholmesjuegodesombras',3,0,0,,,,
'gabrielle',317,110,1021,,,,
'draculalaleyendajamascontada',3,0,0,,,,
'frenchwomen',6,1,2,,,,
'tierrademaria',1,1,0,,,,
'blancanievesylaleyendadelcazador',2,0,0,,,,
'sonofagun',22,52,78,,,,
'projectx',228,165,1425,,,,
'fastfurious7',3,7,5805,,,,
'sinister',177,193,278,,,,
'redencion',25,18,20,,,,
'shame',1819,1289,22745,,,,
'hannaharendt',63,40,435,,,,
'mortdecai',17,15,0,,,,
'hysteria',830,3407,224600,,,,
'stoker',16,6,8,,,,
'transformerslaeradelaextincion',2,0,0,,,,
'locke',74,70,230,,,,
'soulsurfer',13,1,13,,,,
'ninjaturtles',354,339,75596,,,,
'siemprefeliz',22,22,12,,,,
'independencedaycontraataque',2,0,0,,,,
'agosto',646,584,2360,,,,
'mishijos',34,13,6,,,,
'tracers',19,4,409,,,,
'vengadoreslaeradeultron',3,0,0,,,,
'takeshelter',11,15,5,,,,
'headhunters',219,199,806,,,,
'libranosdelmal',4,1,0,,,,
'anomalisa',17,35,26,,,,
'elpasado',9,2,0,,,,
'magicalgirl',146,241,676,,,,
'incidencias',30,3,4,,,,
'expedientewarrentheconjuring',3,0,0,,,,
'brooklyn',1,0,0,,,,
'undiaperfecto',36,3,12,,,,
'10000km',4,3,6,,,,
'eliminado',88,62,329,,,,
'tokarev',2,0,0,,,,
'phantomboy',4,1,2,,,,
'declaraciondeguerra',1,0,1,,,,
'todosaldrabien',52,50,139,,,,
'acantilado',9,13,5,,,,
'iceage4laformaciondeloscontinentes',2,0,0,,,,
'miotroyo',135,489,1043,,,,
'300elorigendeunimperio',3,0,0,,,,
'cumbresborrascosas',53,80,289,,,,
'turistas',441,224,968,,,,
'tuereselsiguiente',1,2,0,,,,
'automata',267,234,11819,,,,
'creedlaleyendaderocky',2,0,0,,,,
'philomena',97,215,215,,,,
'moonrisekingdom',110,167,3158,,,,
'sintregua',70,42,502,,,,
'mindscape',69,236,3570,,,,
'demolicion',38,13,116,,,,
'hercules',785,692,23020,,,,
'enamorarse',31,12,24,,,,
'pactodesilencio',1,0,0,,,,
'buscandoadory',16,8,72,,,,
'atraco',36,10,54,,,,
'infiernoblanco',3,0,0,,,,
'matareltiempo',1,0,0,,,,
'ida',1842,791,2099911,,,,
'corazonesdeacero',5,2,0,,,,
'anarchylanochedelasbestias',2,0,0,,,,
'nuestrahermanapequeña',1,0,0,,,,
'johncarter',107,115,160,,,,
'cornisland',13,9,8,,,,
'todoslosdiasdemivida',47,7,14460,,,,
'lospitufos2',2,0,0,,,,
'cairotime',1,0,0,,,,
'yoko',158,156,166,,,,
'oronegro',62,30,148,,,,
'red2',14,2,3,,,,
'mrturner',5,4,1,,,,
'lilting',6,0,2,,,,
