'elysium',6.6,360470
'ismael',6.4,788
'horcala',7.7,4289
'ayernoterminanunca',5.3,355
'monjeel',7.2,118
'extraordinarytalethe',6.4,1966
'hipocrates',6.9,1985
'parker',6.2,96041
'espiritudel45el',5.6,23
'vientosdelahabana',7.3,268
'betibu',6.3,711
'extraordinarioviajedeluciusdumbel',5.8,17
'terraferma',6.8,2613
'canallaslos',6.9,12
'hongoslos',6.7,239
'luzconeltiempodentrola',4.2,13
'estacioneslas',9.3,10
'turinhorsethe',7.8,11191
'lobo',6.2,45530
'tracers',5.6,15090
'godzilla',6.4,318951
'amazingspiderman',7,476041
'tripthe',4.3,36385
'cairotime',6.7,5509
'enemy',6.9,112634
'600millas',6.9,72
'kungfupanda3',7.2,90834
'sabotage',5.7,50255
'contrarreloj',5.5,38520
'islabonita',6.3,197
'insurgente',6.3,173071
'tramala',6.4,1747
'devilinsidethe',4.2,31514
'despedidadesoltera',6.7,10
'losers',8.1,345
'cornisland',7.7,3075
'niñoel',5.1,13
'perdida',8.1,640348
'horns',6.5,61384
'noviala',6.1,32
'vacaciones',6.1,75044
'grandpiano',5.9,14290
'elegidoel',5.3,11
'combustion',5.8,2633
'miel',6.8,1525
'lobosdearga',7.2,5
'zootropolis',8.1,301580
'foxcatcher',7,114876
'mud',7.4,143526
'coroel',5.4,182
'dheepan',7.2,9329
'contraband',6.5,105190
'jackreacher',7,252080
'enfueradejuego',5,271
'marthamarcymaymarlene',6.9,42221
'khumba',5.8,4377
'jobs',7.2,116979
'joy',6.6,98525
'invisibles',7.3,9178
'cosmopolis',5,39185
'paddington',7.2,55167
'oronegro',6.9,58
'asesinosinocentes',6.2,310
'ovejasnopierdeneltrenlas',5.7,936
'septimo',5.8,3898
'ohboy',6,102
'capitanamericacivilwar',7.9,417531
'ahoraonunca',5.2,1683
'pesadillas',6.3,57997
'cafedeflore',7.4,12020
'altamira',5.9,1389
'blancanieves',5.8,3601
'annie',6.5,32534
'masaan',8.1,12559
'littleboy',7.4,18555
'fraudeel',6,773
'noculpesalkarmadeloquetepasaporgilipollas',4.6,374
'segundamujerla',5.2,6
'niko2',8.9,133
'mundoesnuestroel',6.6,952
'infiernoazul',3.4,9
'premonicion',6.4,36779
'onedirection',4.1,22387
'walkingonsunshine',5.3,3625
'yvessaintlaurent',6.2,8875
'labellaylabestia',6.1,7
'gernika',5.8,1413
'pixels',5.6,102088
'submarine',7.3,71374
'octoberbaby',6.8,6440
'interviewthe',6.6,262422
'lobossucios',5.9,126
'life',6.8,69209
'meninblack3',6.8,279142
'difret',6.8,897
'coherence',7.2,67051
'macbeth',6.7,41998
'ratchetandclank',6.9,10
'quatretondeta',6.7,82
'americanultra',6.1,64783
'2guns',6.7,166200
'hitchcock',6.8,63317
'monstruosuniversity',7.3,253188
'boxtrollslos',6.8,45541
'frenchwomen',5.3,1552
'tothewonder',5.9,22759
'sonofagun',6.5,21149
'grupo7',7.2,49
'vampyres',6.2,2327
'jedgar',6.6,107516
'almasalvaje',5.7,203
'blairwitch',5.1,26597
'somosgentehonrada',6.9,92
'cutbank',6,8188
'evelyn',7,5557
'ontheroad',6.1,35044
'alcaldesa',6.6,60
'corazondeleon',6.4,11
'shame',8.9,13658
'tuyyo',7.8,20
'deadpool',8,636215
'parismanhattan',6.1,3104
'belle',7.4,22422
'exmachina',7.7,342701
'nombreel',7.6,27181
'Gã¼eros',7.5,2229
'fatima',6.9,786
'matareltiempo',6.3,45
'moneyball',7.6,298265
'annakarenina',6.6,75630
'nahid',6.6,855
'elle',8,392798
'citizenfour',8.1,42333
'onepiecegold',7.4,1947
'imposiblelo',7.6,156946
'yellowseathe',7.4,13275
'negociador',7.3,112225
'retornados',5.9,7162
'mandarinas',8.3,23910
'xmenapocalipsis',7.1,280907
'ladyinthevanthe',6.7,16941
'projectx',6.7,164520
'boyhood',7.9,287780
'carrie',7.4,133672
'fenix1123',7,233
'brujala',6,276
'battleship',5.8,210912
'hercules',7.2,155623
'human',8.1,42789
'poltergeist',7.4,113342
'pactoel',5.3,52
'headhunters',7.6,83814
'moneymonster',6.5,69484
'samba',6.7,11443
'langosta',7.1,123214
