['Marvel Los Vengadores' 'marvellosvengadores'],"[datetime.datetime(2012, 4, 27, 0, 0) 1 1 5303855 5303855 397 723 738401
 738401]","[datetime.datetime(2012, 9, 7, 0, 0) 64 20 16056708 106 2 2 2327010 18]"
"['Pelayos, The' 'pelayosthe']","[datetime.datetime(2012, 4, 27, 0, 0) 4 1 564476 564476 223 223 83740 83740]","[datetime.datetime(2012, 7, 6, 0, 0) 55 11 1488272 300 1 1 227374 50]"
"['Maldicion de Rookford, La' 'maldicionderookfordla']","[datetime.datetime(2012, 4, 27, 0, 0) 8 1 286627 286627 162 162 42759 42759]","[datetime.datetime(2012, 6, 1, 0, 0) 38 6 703953 1513 18 18 108333 245]"
"['Nieves del Kilimanjaro, Las' 'nievesdelkilimanjarolas']","[datetime.datetime(2012, 4, 27, 0, 0) 13 1 122874 122874 37 37 18000 18000]","[datetime.datetime(2012, 8, 24, 0, 0) 55 18 919953 120 1 1 143595 20]"
['Martha Marcy May Marlene' 'marthamarcymaymarlene'],"[datetime.datetime(2012, 4, 27, 0, 0) 16 1 81790 81790 61 61 11953 11953]","[datetime.datetime(2012, 6, 29, 0, 0) 53 10 249736 677 4 4 37770 94]"
"['Wish Fish, The' 'wishfishthe']","[datetime.datetime(2012, 4, 27, 0, 0) 25 1 14756 14756 29 29 2173 2173]","[datetime.datetime(2012, 6, 22, 0, 0) 61 9 47160 251 7 7 7450 50]"
['American Pie: El Reencuentro' 'americanpieelreencuentro'],"[datetime.datetime(2012, 5, 4, 0, 0) 2 1 2131694 2131694 337 384 328618
 328618]","[datetime.datetime(2012, 7, 13, 0, 0) 56 11 5167999 92 3 3 821219 13]"
['Safe' 'safe'],"[datetime.datetime(2012, 5, 4, 0, 0) 4 1 579941 579941 273 273 89933 89933]","[datetime.datetime(2012, 7, 13, 0, 0) 47 11 1460345 676 3 3 233420 110]"
['Adios a la Reina' 'adiosalareina'],"[datetime.datetime(2012, 5, 4, 0, 0) 14 1 88545 88545 56 56 12638 12638]","[datetime.datetime(2012, 6, 29, 0, 0) 54 9 219599 412 2 2 33311 75]"
"['Diarios del Ron, Los' 'diariosdelronlos']","[datetime.datetime(2012, 5, 4, 0, 0) 15 1 76237 76237 57 57 11435 11435]","[datetime.datetime(2012, 6, 22, 0, 0) 54 8 169054 520 6 6 26758 90]"
"['Lyonnais, Les' 'lyonnaisles']","[datetime.datetime(2012, 5, 4, 0, 0) 23 1 17440 17440 29 29 2941 2941]","[datetime.datetime(2012, 6, 1, 0, 0) 57 5 60027 295 4 4 18493 48]"
['Wilaya' 'wilaya'],"[datetime.datetime(2012, 5, 4, 0, 0) 25 1 15859 15859 18 18 2436 2436]","[datetime.datetime(2012, 6, 15, 0, 0) 70 7 31227 11 1 1 5098 2]"
['Sombras Tenebrosas' 'sombrastenebrosas'],"[datetime.datetime(2012, 5, 11, 0, 0) 1 1 1874530 1874530 320 341 282648
 282648]","[datetime.datetime(2012, 8, 10, 0, 0) 44 14 6077644 527 9 8 953084 80]"
['Infiltrados en Clase' 'infiltradosenclase'],"[datetime.datetime(2012, 5, 11, 0, 0) 5 1 342983 342983 283 284 53487 53487]","[datetime.datetime(2012, 7, 6, 0, 0) 48 9 1033145 786 16 16 169077 118]"
